2004;10000;P0104;Monitoraggio ambientale
2004;10001;P0204;Opere igienico sanitarie
2004;9999;P0004;Standard
2004;9999;P0004;Standard
2006;9999;PDS0-2006;comune
2004;9999;P0004;Standard
2004;10000;P0204;Viticoltura ed enologia
2004;10001;P0104;Industrie alimentari
2004;9999;P0004;Standard
2004;9999;P0004;Standard
2004;9999;P0004;Standard
2004;10000;P0104;Strutture A
2004;9999;P0004;Standard
2004;10001;P0204;Strutture B
2004;10002;P0304;Infrastrutture
2004;10003;P0404;Impianti
2004;9999;P0004;Standard
2004;9999;P0004;Standard
2004;9999;P0004;Standard
2004;9999;P0004;Standard
2004;9999;P0004;Standard
2004;10000;P0104;Tecnologie del software
2004;10001;P0204;Bioinformatica
2001;9999;PDS0-2001;comune
2004;10002;P0304;Reti e mobilità
2004;9999;P0004;Standard
2004;9999;P0004;Standard
2004;9999;P0004;Standard
2004;9999;P0004;Standard
2004;10001;P0104;Analisi del mutamento sociale
2004;10002;P0204;Comunicazione e cultura
2004;10000;P0104;Storia della tradizione classica e medievale
2004;10001;P0204;Italianistica e critica letteraria
2004;10002;P0304;Letterature comparate
2004;9999;P0004;Standard
2004;10000;P0104;Cultura artistica e musicale del Novecento
2004;10001;P0204;Storia e conservazione del patrimonio storico-artistico
2004;10002;P0304;Gestione dei beni culturali
2004;9999;P0004;Standard
2002;9999;PDS0-2002;comune
2003;9999;PDS0-2003;comune
2004;9999;P0004;Standard
2004;9999;P0004;Standard
2001;10000;P0201;Generale - offerta formativa part-time
2001;10003;P0401;Marketing Turistico - offerta formativa part-time
2001;10001;P0101;Generale
2001;9999;PDS0-2001;comune
2002;9999;PDS0-2002;comune
2001;9999;PDS0-2001;comune
2002;9999;PDS0-2002;comune
2003;9999;PDS0-2003;comune
2000;9999;PDS0-2000;comune
2001;9999;PDS0-2001;comune
2002;9999;PDS0-2002;comune
2003;9999;PDS0-2003;comune
2002;9999;PDS0-2002;comune
2003;9999;PDS0-2003;comune
2001;9999;PDS0-2001;comune
2001;9999;PDS0-2001;comune
2003;9999;PDS0-2003;comune
2001;9999;PDS0-2001;comune
2002;9999;PDS0-2002;comune
2003;9999;PDS0-2003;comune
2004;9999;P0004;Standard
2001;9999;PDS0-2001;comune
2002;9999;PDS0-2002;comune
2003;9999;PDS0-2003;comune
2003;9999;PDS0-2003;comune
2003;10000;SGCE19PRIV;Studi giuridici comparati ed europei (Diritto privato comparato)
2003;10001;SGCE19PUB;Studi giuridici comparati ed europei (diritto pubblico)
2003;10002;SGCE19PEN;Studi giuridici comparati ed europei (diritto penale)
2001;9999;P0001;Standard
2001;9999;P0001;Standard
2001;9999;P0001;Standard
2000;10003;P0400;Forense
1984;10001;P0284;Classico
1999;10001;P0299;Produzione e qualità
1984;10003;P0484;Forense
1996;10001;P0296;Pubblicistico
1996;10003;P0496;Forense
1990;10000;P0190;Edile
1985;10001;P0285;Prog.ne edilizia
1986;10001;P0286;Tecnologico
1999;10001;P0299;Multimedialità
1990;10001;P0290;Sensori
1990;10003;P0490;Produzione/Qualità
1990;10001;P0290;Difesa del suolo e dell'ambiente
1990;10003;P0490;Tecnologia del legno
2001;10001;P0201;Opere igienico sanitarie
1991;10001;P0291;Linguistico glottodidattico
2001;10001;P0201;Moderno
2001;10001;P0201;Archeologico
2001;10003;P0401;Storico-artistico
1993;10001;P0293;Fisica dei biosistemi
1993;10005;P0693;Teorico generale
1972;10002;P0384;Generale
1993;10001;P0293;Applicativo
1993;10003;P0496;Applicativo/informatico
2002;10002;P0302;Elettronica-sensori e trasduttori
1989;9999;P0089;Standard
1994;9999;P0094;Standard
1992;10001;P0292;Organ.vo, econ. e del lavoro
2005;10001;ICT21INF;Informatica e telecomunicazioni (Area Informatica)
2005;10001;P0105;Generale
2004;10001;P0204;Industrie Alimentari
2004;10000;P0104;Meccanica
2004;10001;P0204;Elettronica
2001;10000;P0101;A
2001;10001;P0201;B
2001;10002;P0301;C
2005;9999;P0005;Standard
2005;10000;P0105;Lingue e letterature moderne
2005;10001;P0205;Mediazione linguistica per le imprese e il turismo
2004;9999;PDS0-2004;comune
2004;9999;PDS0-2004;comune
2004;9999;PDS0-2004;comune
2004;9999;PDS0-2004;comune
2004;9999;PDS0-2004;comune
2004;9999;PDS0-2004;comune
2004;9999;PDS0-2004;comune
2004;9999;PDS0-2004;comune
2004;9999;PDS0-2004;comune
1999;10008;10;Area Tecnologica
2004;9999;PDS0-2004;comune
2005;9999;P0005;Standard
2005;9999;PDS0-2005;comune
2005;9999;PDS0-2005;comune
2005;10000;ICT21ELET;Informatica e telecomunicazioni (Area Elettronica)
2005;10002;ICT21TEL;Informatica e telecomunicazioni (Area Telecomunicazioni)
2005;9999;PDS0-2005;comune
2005;9999;PDS0-2005;comune
2005;9999;PDS0-2005;comune
2005;9999;PDS0-2005;comune
2004;9999;PDS0-2004;comune
1962;10002;P0362;Sociologia delle strutture e dei processi territoriali
1995;10001;P0295;Generale/giuridico-professionale
2008;10002;P0305;matematico
2008;10000;P0105;interdisciplinare
2008;9999;P0001;standard
2008;10001;P0201;Professionale
2008;10000;P0106;Sociologia
2008;9999;PDS0-2008;comune
2008;10007;SRSSSC;Servizio Sociale Comparato-Comparative Social Work
2008;9999;PDS0-2008;comune
2008;9999;PDS0-2008;comune
2008;10000;SPFPC;Processi Cognitivi
2008;10001;SPFPA;Psicologia Applicata
2008;10002;SPFSF;Scienze della Formazione
2008;9999;PDS0-2008;comune
2008;9999;PDS0-2008;comune
2008;10002;MATCEDM;Comunicazione e Didattica della Matematica
2008;10003;MATMAG;Metodi algebrici e geometrici in crittografia e teoria dei codici
2008;9999;PDS0-2008;comune
2008;10000;IAAMB;Ingegneria Ambientale
2008;10001;IAIACT;Ingegneria - architettura per la città e il territorio
2008;9999;PDS0-2008;comune
2008;9999;PDS0-2008;comune
2008;10000;ISSMSSG;Meccanica dei Solidi e delle Strutture e Geotecnica
2008;10001;ISSISA;Ingegneria Strutturale e Architettura
2008;10002;ISSSMM;Sistemi Meccanici e Meccatronici
2008;9999;PDS0-2008;comune
2008;10000;ILD;Innovation and Local Development
2008;10001;HSR;Human and Social resources in Local Development
2008;9999;PDS0-2008;comune
2008;9999;P0005;standard
2008;9999;P0008;Standard
2008;9999;P0001;standard
2008;10002;P0408;Politica europea e sistema internazionale
2008;9999;P0006;standard
2008;10000;P0103;Metodologico Meccatronica
2008;9999;P0003;standard
2008;10000;P0105;metodologico
2008;10001;P0205;systems and networks
2008;10003;P0405;data, media & knowledge
2008;10000;P0101;generale
2007;9999;PDS0-2007;comune
2008;9999;PDS0-2008;comune
2008;10006;EMBE;Behavioural Economics
2008;10007;EMBS;Behavioural Studies in Management and Organisations
2008;9999;PDS0-2008;comune
2008;10009;EMIE;International Economics
2008;10010;EMEE;Environmental Economics
2008;10000;SLLFFC;Filologia classica e Letteratura greca e latina
2008;10001;SLLFLE;Letterature europee del Medioevo e del Rinascimento
2008;10002;SLLFLC;Letterature comparate e studi culturali
2008;9999;PDS0-2008;comune
2008;9999;PDS0-2008;comune
2008;9999;PDS0-2008;comune
2007;10000;P0107;Scientifico
2007;10001;P0207;Professionalizzante
2007;10000;P0107;Monitoraggio ambientale
2004;10003;P0404;Produzione e design
2004;10005;P0604;Tecnologie biomediche
2007;9999;P0007;Standard
2007;9999;PDS0-2007;comune
2006;9999;PDS0-2006;comune
2007;9999;PDS0-2007;comune
2007;10008;EMSTM;Sustainable Tourism Management
2007;9999;PDS0-2007;comune
2007;9999;PDS0-2007;comune
2007;9999;PDS0-2007;comune
2007;9999;PDS0-2007;comune
2007;9999;PDS0-2007;comune
2007;9999;PDS0-2007;comune
2007;9999;PDS0-2007;comune
2007;10003;ICTELET;Informatica e Telecomunicazioni (Area Elettronica)
2007;9999;PDS0-2007;comune
2007;10005;CBSLIC;Language, Interaction and Computation
2007;10009;EMIE;International Economics
2007;9999;PDS0-2007;comune
2007;10000;ISSMSSG;Meccanica dei Solidi e delle Strutture e Geotecnica
2008;9999;PDS0-2008;comune
2007;9999;PDS0-2007;comune
2006;9999;PDS0-2006;comune
2006;9999;PDS0-2006;comune
2007;9999;PDS0-2007;comune
2007;10000;SPFPC;Processi Cognitivi
2007;10001;SPFPA;Psicologia Applicata
2007;10002;SLLFLC;Letterature comparate e studi culturali
2007;9999;PDS0-2007;comune
2007;10001;ISSISA;Ingegneria Strutturale e Architettura
2003;10001;P0203;Pubblicistico-Penalistico
2003;10003;SGCE19STO;Studi giuridici comparati ed europei (storia del diritto italiano e canonico)
2003;9999;PDS0-2003;comune
2004;9999;PDS0-2004;comune
2002;9999;PDS0-2002;comune
2003;9999;PDS0-2003;comune
2002;9999;PDS0-2002;comune
2003;9999;PDS0-2003;comune
2002;9999;PDS0-2002;comune
2003;9999;PDS0-2003;comune
2001;9999;PDS0-2001;comune
2002;9999;PDS0-2002;comune
2002;9999;PDS0-2002;comune
2001;9999;PDS0-2001;comune
2002;9999;PDS0-2002;comune
2001;9999;PDS0-2001;comune
2002;9999;PDS0-2002;comune
2001;9999;PDS0-2001;comune
2002;9999;PDS0-2002;comune
2004;9999;PDS0-2004;comune
1984;10001;P0284;Artistico-museografico
2002;10000;P0102;Filosofia etica e religione
1972;10000;P0172;Applicativo
2002;10000;P0102;Fisica teorica e computazionale
1962;10000;P0162;Sociologia fenomeni economici e del lavoro
1995;10005;P0695;Generale/economia e gestione organiz. non profit e servizi interesse collettivo
1999;10003;PG99;Generico
2001;10001;P0101;Industrie alimentari
1984;10000;P0184;Moderno
1962;10001;P0262;Sociologia dei fenomeni organizzativi e politici
2000;10002;P0300;Giuristi d'impresa
1996;10000;P0196;Transnazionale
2008;10000;P0105;bio-informatics
1999;10002;P0399;Telecomunicazioni per l'ambiente ed il territorio
1991;10000;P0191;Filologico letterario
1993;10000;P0193;Fisica applicata
1995;10006;P0795;Generale/economia e gestione dell'ambiente
1995;10011;P1295;Economia aziendale/economia, istituzioni e mercati
1995;10003;P0495;Economia e gestione organizzazioni non profit e servizi di interesse collettivo
1999;10004;1;Area delle Scienze Naturali
1995;10000;P0195;Piano giuridico-professionale
2004;10001;P0204;Professionalizzante strutture e infrastrutture
2004;10003;P0404;Opere idrauliche
2001;10002;P0301;Generale - offerta formativa part-time
2001;9999;PDS0-2001;comune
2002;9999;PDS0-2002;comune
2003;9999;PDS0-2003;comune
2004;9999;PDS0-2004;comune
