10158;0419G;Studi storici e filologico-letterari
10159;0421H;Conservazione e gestione dei Beni culturali
10160;0425H;Scienze storiche e forme della memoria
10164;0422H;Letterature euroamericane, traduzione e critica letteraria
10165;0423H;Mediazione linguistica, turismo e culture
10166;0424H;Filologia e critica letteraria
10167;0420H;Filosofia e linguaggi della modernità
10168;0708H;Cognitive Science - Scienze Cognitive
10169;0518H;FISICA
10170;0519H;MATEMATICA
10171;SB;Scienze Biomolecolari
10172;SSPL;Scuola di Specializzazione per le professioni legali
10173;M215;Nano Micro
10174;M106;Metodologie di Intervento Educativo in Contesti Specifici e Territoriali
10175;0336F;Ingegneria Edile-Architettura
10176;0120H;Innovation Management - Management dell'innovazione
10177;0803H;EUROPEAN AND INTERNATIONAL STUDIES - STUDI EUROPEI E INTERNAZIONALI 
10178;0121H;Economics - Economia
10179;0122H;Finanza
10180;TESBD1;Dottorato cotutela incoming - Local Development and Global Dynamics
10181;M107;Joint African Master Programme in Comparative Local Development - JAMP
10182;TESGD1;Dottorato in cotuttela incoming - Studi Giuridici Comparati ed Europei
10183;TE08ER;Erasmus incoming Scuola Studi Internazionali
10184;XXXXX;Corso errato SEI
10185;0123H;Management
10186;0124H;Management
10187;0125H;Economia e legislazione d'impresa
10188;SSS;SCUOLA IN SCIENZE SOCIALI
10189;SU;Studi Umanistici
10190;AB_HITO;Accordo bilaterale con Hitotsubashi University
10191;AB_CARL;Exchange Agreement with Carleton University
10192;AB_UNIVALI;Exchange Agreement with Universidade do Vale do Itajaì
10193;AB_FURB;Exchange Agreement with FURB - Universidade Regional de Blumenau
10194;AB_MELBOUR;Exchange Agreement with University of Melbourne
10195;AB_SHANGAI; Exchange Agreement with Shangai International Studies University
10196;EM_MULTIC;Erasmus Mundus - MULTIC - Lot 5
10197;EM_AVERR;Erasmus Mundus - AVERROES 3 - Lot 1
10198;EM_ASIAREG;Erasmus Mundus - Asia Regional - Lot 11
10199;EM_LOT3B;Erasmus Mundus - Lot 3B
10200;TE_STUM_D1;Dottorati in cotutela incoming - Studi Umanistici
10201;TE_STU_D1;Dottorati cotutela incoming - STUDI UMANISTICI
10202;TE_IAS_D1;DOTTORATI IN COTUTELA INCOMING INGEGNERIA AMBIENTALE SMART
10203;EMSSS;Economics and Management (Scuola in Scienze Sociali)
10204;SRSSSS;Sociologia e Ricerca Sociale (Scuola in Scienze Sociali)
10205;LDGDSSS;Local Development and Global Dynamics (Scuola in Scienze Sociali)
10206;CP01;Formazione per formatori eLearning
10207;M108;Joint European Master in Comparative Local Development - CoDe
10208;TE_SUDF_D1;Dottorato in cotutela incoming STUDI UMANISTICI, DISCIPLINE FILOSOFICHE, STORICHE E DEI BENI CULTURALI
10209;DL_07_TILB;DOPPIA LAUREA SOCIOLOGIA TILBURG
10210;M216;Gestione delle Politiche Familiari
10213;CP03;Formazione per docenti tutor nella scuola primaria e secondaria
